CHURN STATUS,,,,,,,,
0,,,1,,,Total Average of Total Transactions Count,Total Average of Total Revolving Balance,Total Average of Customer Contact Count
Average of Total Transactions Count,Average of Total Revolving Balance,Average of Customer Contact Count,Average of Total Transactions Count,Average of Total Revolving Balance,Average of Customer Contact Count,,,
68.67258824,1256.604118,2.356352941,44.93362016,672.8229871,2.972341733,64.85869458,1162.814061,2.455317468
